C:\Users\기현\Desktop\image\IMG\center_2022_05_31_19_04_17_375.jpg,C:\Users\기현\Desktop\image\IMG\left_2022_05_31_19_04_17_375.jpg,C:\Users\기현\Desktop\image\IMG\right_2022_05_31_19_04_17_375.jpg,0,0,0,4.291671E-05
C:\Users\기현\Desktop\image\IMG\center_2022_05_31_19_04_17_445.jpg,C:\Users\기현\Desktop\image\IMG\left_2022_05_31_19_04_17_445.jpg,C:\Users\기현\Desktop\image\IMG\right_2022_05_31_19_04_17_445.jpg,0,0,0,4.034237E-05
C:\Users\기현\Desktop\image\IMG\center_2022_05_31_19_04_17_514.jpg,C:\Users\기현\Desktop\image\IMG\left_2022_05_31_19_04_17_514.jpg,C:\Users\기현\Desktop\image\IMG\right_2022_05_31_19_04_17_514.jpg,0,0,0,3.834895E-05
C:\Users\기현\Desktop\image\IMG\center_2022_05_31_19_04_17_583.jpg,C:\Users\기현\Desktop\image\IMG\left_2022_05_31_19_04_17_583.jpg,C:\Users\기현\Desktop\image\IMG\right_2022_05_31_19_04_17_583.jpg,0,0,0,4.462022E-05
C:\Users\기현\Desktop\image\IMG\center_2022_05_31_19_04_17_650.jpg,C:\Users\기현\Desktop\image\IMG\left_2022_05_31_19_04_17_650.jpg,C:\Users\기현\Desktop\image\IMG\right_2022_05_31_19_04_17_650.jpg,0,0,0,5.27968E-05
C:\Users\기현\Desktop\image\IMG\center_2022_05_31_19_04_17_720.jpg,C:\Users\기현\Desktop\image\IMG\left_2022_05_31_19_04_17_720.jpg,C:\Users\기현\Desktop\image\IMG\right_2022_05_31_19_04_17_720.jpg,0,0,0,3.902334E-06
C:\Users\기현\Desktop\image\IMG\center_2022_05_31_19_04_17_786.jpg,C:\Users\기현\Desktop\image\IMG\left_2022_05_31_19_04_17_786.jpg,C:\Users\기현\Desktop\image\IMG\right_2022_05_31_19_04_17_786.jpg,0,0,0,8.659217E-05
C:\Users\기현\Desktop\image\IMG\center_2022_05_31_19_04_17_855.jpg,C:\Users\기현\Desktop\image\IMG\left_2022_05_31_19_04_17_855.jpg,C:\Users\기현\Desktop\image\IMG\right_2022_05_31_19_04_17_855.jpg,0,0,0,0.0001040571
C:\Users\기현\Desktop\image\IMG\center_2022_05_31_19_04_17_923.jpg,C:\Users\기현\Desktop\image\IMG\left_2022_05_31_19_04_17_923.jpg,C:\Users\기현\Desktop\image\IMG\right_2022_05_31_19_04_17_923.jpg,0,0,0,0.0001336978
C:\Users\기현\Desktop\image\IMG\center_2022_05_31_19_04_17_992.jpg,C:\Users\기현\Desktop\image\IMG\left_2022_05_31_19_04_17_992.jpg,C:\Users\기현\Desktop\image\IMG\right_2022_05_31_19_04_17_992.jpg,0,0,0,0.0002161008
C:\Users\기현\Desktop\image\IMG\center_2022_05_31_19_04_18_061.jpg,C:\Users\기현\Desktop\image\IMG\left_2022_05_31_19_04_18_061.jpg,C:\Users\기현\Desktop\image\IMG\right_2022_05_31_19_04_18_061.jpg,0,0,0,3.340037E-05
C:\Users\기현\Desktop\image\IMG\center_2022_05_31_19_04_18_128.jpg,C:\Users\기현\Desktop\image\IMG\left_2022_05_31_19_04_18_128.jpg,C:\Users\기현\Desktop\image\IMG\right_2022_05_31_19_04_18_128.jpg,0,0,0,3.054862E-05
C:\Users\기현\Desktop\image\IMG\center_2022_05_31_19_04_18_196.jpg,C:\Users\기현\Desktop\image\IMG\left_2022_05_31_19_04_18_196.jpg,C:\Users\기현\Desktop\image\IMG\right_2022_05_31_19_04_18_196.jpg,0,0,0,0.0002857911
